URI_1,URI_2,relationship_id
CHEBI_10037,CHEBI_18946,44818821
CHEBI_18946,CHEBI_10037,44818723
CHEBI_10041,CHEBI_18946,44818821
CHEBI_18946,CHEBI_10041,44818723
CHEBI_69120,CHEBI_18946,44818821
CHEBI_18946,CHEBI_69120,44818723
CHEBI_72578,CHEBI_18946,44818821
CHEBI_18946,CHEBI_72578,44818723
CHEBI_75885,CHEBI_18946,44818821
CHEBI_18946,CHEBI_75885,44818723
CHEBI_125368,CHEBI_18946,44818821
CHEBI_18946,CHEBI_125368,44818723
CHEBI_74105,CHEBI_18946,44818821
CHEBI_18946,CHEBI_74105,44818723
CHEBI_68931,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68931,44818723
CHEBI_4794,CHEBI_18946,44818821
CHEBI_18946,CHEBI_4794,44818723
CHEBI_70378,CHEBI_18946,44818821
CHEBI_18946,CHEBI_70378,44818723
CHEBI_9150,CHEBI_18946,44818821
CHEBI_18946,CHEBI_9150,44818723
CHEBI_52289,CHEBI_18946,44818821
CHEBI_18946,CHEBI_52289,44818723
CHEBI_5315,CHEBI_18946,44818821
CHEBI_18946,CHEBI_5315,44818723
CHEBI_5320,CHEBI_18946,44818821
CHEBI_18946,CHEBI_5320,44818723
CHEBI_65989,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65989,44818723
CHEBI_66130,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66130,44818723
CHEBI_66161,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66161,44818723
CHEBI_66162,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66162,44818723
CHEBI_66163,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66163,44818723
CHEBI_66164,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66164,44818723
CHEBI_66325,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66325,44818723
CHEBI_66326,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66326,44818723
CHEBI_66327,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66327,44818723
CHEBI_66328,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66328,44818723
CHEBI_66329,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66329,44818723
CHEBI_66337,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66337,44818723
CHEBI_66431,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66431,44818723
CHEBI_66486,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66486,44818723
CHEBI_66544,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66544,44818723
CHEBI_66670,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66670,44818723
CHEBI_66711,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66711,44818723
CHEBI_66744,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66744,44818723
CHEBI_66745,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66745,44818723
CHEBI_66802,CHEBI_18946,44818821
CHEBI_18946,CHEBI_66802,44818723
CHEBI_6692,CHEBI_18946,44818821
CHEBI_18946,CHEBI_6692,44818723
CHEBI_67296,CHEBI_18946,44818821
CHEBI_18946,CHEBI_67296,44818723
CHEBI_67297,CHEBI_18946,44818821
CHEBI_18946,CHEBI_67297,44818723
CHEBI_67298,CHEBI_18946,44818821
CHEBI_18946,CHEBI_67298,44818723
CHEBI_67299,CHEBI_18946,44818821
CHEBI_18946,CHEBI_67299,44818723
CHEBI_67560,CHEBI_18946,44818821
CHEBI_18946,CHEBI_67560,44818723
CHEBI_67561,CHEBI_18946,44818821
CHEBI_18946,CHEBI_67561,44818723
CHEBI_67566,CHEBI_18946,44818821
CHEBI_18946,CHEBI_67566,44818723
CHEBI_67567,CHEBI_18946,44818821
CHEBI_18946,CHEBI_67567,44818723
CHEBI_67568,CHEBI_18946,44818821
CHEBI_18946,CHEBI_67568,44818723
CHEBI_67569,CHEBI_18946,44818821
CHEBI_18946,CHEBI_67569,44818723
CHEBI_67570,CHEBI_18946,44818821
CHEBI_18946,CHEBI_67570,44818723
CHEBI_67611,CHEBI_18946,44818821
CHEBI_18946,CHEBI_67611,44818723
CHEBI_68744,CHEBI_18946,44818821
CHEBI_18946,CHEBI_68744,44818723
CHEBI_8691,CHEBI_18946,44818821
CHEBI_18946,CHEBI_8691,44818723
CHEBI_75272,CHEBI_18946,44818821
CHEBI_18946,CHEBI_75272,44818723
CHEBI_85532,CHEBI_18946,44818821
CHEBI_18946,CHEBI_85532,44818723
CHEBI_85805,CHEBI_18946,44818821
CHEBI_18946,CHEBI_85805,44818723
CHEBI_8616,CHEBI_18946,44818821
CHEBI_18946,CHEBI_8616,44818723
CHEBI_8690,CHEBI_18946,44818821
CHEBI_18946,CHEBI_8690,44818723
CHEBI_9183,CHEBI_18946,44818821
CHEBI_18946,CHEBI_9183,44818723
CHEBI_91894,CHEBI_18946,44818821
CHEBI_18946,CHEBI_91894,44818723
CHEBI_93843,CHEBI_18946,44818821
CHEBI_18946,CHEBI_93843,44818723
CHEBI_93876,CHEBI_18946,44818821
CHEBI_18946,CHEBI_93876,44818723
CHEBI_2733,CHEBI_18946,44818821
CHEBI_18946,CHEBI_2733,44818723
CHEBI_34652,CHEBI_18946,44818821
CHEBI_18946,CHEBI_34652,44818723
CHEBI_34705,CHEBI_18946,44818821
CHEBI_18946,CHEBI_34705,44818723
CHEBI_34828,CHEBI_18946,44818821
CHEBI_18946,CHEBI_34828,44818723
CHEBI_34848,CHEBI_18946,44818821
CHEBI_18946,CHEBI_34848,44818723
CHEBI_5607,CHEBI_18946,44818821
CHEBI_18946,CHEBI_5607,44818723
CHEBI_5724,CHEBI_18946,44818821
CHEBI_18946,CHEBI_5724,44818723
CHEBI_65345,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65345,44818723
CHEBI_65367,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65367,44818723
CHEBI_65435,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65435,44818723
CHEBI_65436,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65436,44818723
CHEBI_65437,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65437,44818723
CHEBI_65438,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65438,44818723
CHEBI_65526,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65526,44818723
CHEBI_65527,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65527,44818723
CHEBI_65528,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65528,44818723
CHEBI_65529,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65529,44818723
CHEBI_65530,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65530,44818723
CHEBI_65531,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65531,44818723
CHEBI_65532,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65532,44818723
CHEBI_65533,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65533,44818723
CHEBI_65552,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65552,44818723
CHEBI_65553,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65553,44818723
CHEBI_65598,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65598,44818723
CHEBI_65642,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65642,44818723
CHEBI_65650,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65650,44818723
CHEBI_65651,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65651,44818723
CHEBI_65702,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65702,44818723
CHEBI_65703,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65703,44818723
CHEBI_65704,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65704,44818723
CHEBI_65887,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65887,44818723
CHEBI_65896,CHEBI_18946,44818821
CHEBI_18946,CHEBI_65896,44818723
CHEBI_83519,CHEBI_18946,44818821
CHEBI_18946,CHEBI_83519,44818723
CHEBI_94528,CHEBI_18946,44818821
CHEBI_18946,CHEBI_94528,44818723
CHEBI_94560,CHEBI_18946,44818821
CHEBI_18946,CHEBI_94560,44818723
CHEBI_94576,CHEBI_18946,44818821
CHEBI_18946,CHEBI_94576,44818723
CHEBI_95115,CHEBI_18946,44818821
CHEBI_18946,CHEBI_95115,44818723
CHEBI_95182,CHEBI_18946,44818821
CHEBI_18946,CHEBI_95182,44818723
CHEBI_95197,CHEBI_18946,44818821
CHEBI_18946,CHEBI_95197,44818723
CHEBI_22715,CHEBI_22715,44818821
CHEBI_22715,CHEBI_22715,44818723
CHEBI_22715,CHEBI_27171,44818821
CHEBI_27171,CHEBI_22715,44818723
CHEBI_38166,CHEBI_24532,44818821
CHEBI_24532,CHEBI_38166,44818723
CHEBI_22715,CHEBI_103852,44818821
CHEBI_103852,CHEBI_22715,44818723
CHEBI_103862,CHEBI_22715,44818821
CHEBI_22715,CHEBI_103862,44818723
CHEBI_104010,CHEBI_22715,44818821
CHEBI_22715,CHEBI_104010,44818723
CHEBI_104049,CHEBI_22715,44818821
CHEBI_22715,CHEBI_104049,44818723
CHEBI_104050,CHEBI_22715,44818821
